dealer_seen,player_value,num_aces,num_hits,num_stands
2,4,0,358,0
2,4,1,0,0
2,4,2,0,0
2,5,0,792,0
2,5,1,0,0
2,5,2,0,0
2,6,0,1195,0
2,6,1,0,0
2,6,2,0,0
2,7,0,1717,0
2,7,1,0,0
2,7,2,0,0
2,8,0,2182,0
2,8,1,0,0
2,8,2,0,0
2,9,0,2769,0
2,9,1,0,0
2,9,2,0,0
2,10,0,3385,0
2,10,1,0,0
2,10,2,0,0
2,11,0,3959,0
2,11,1,0,0
2,11,2,0,0
2,12,0,7048,3
2,12,1,631,6
2,12,2,510,0
2,13,0,0,7037
2,13,1,797,1008
2,13,2,0,50
2,14,0,0,7128
2,14,1,886,555
2,14,2,0,91
2,15,0,0,6928
2,15,1,923,528
2,15,2,0,101
2,16,0,0,6458
2,16,1,782,598
2,16,2,0,115
2,17,0,0,6138
2,17,1,828,598
2,17,2,0,95
2,18,0,0,5629
2,18,1,9,1269
2,18,2,0,93
2,19,0,0,5259
2,19,1,21,1292
2,19,2,0,37
2,20,0,0,8497
2,20,1,18,1357
2,20,2,0,43
2,21,0,0,1804
2,21,1,0,4014
2,21,2,0,40
3,4,0,384,0
3,4,1,0,0
3,4,2,0,0
3,5,0,813,0
3,5,1,0,0
3,5,2,0,0
3,6,0,1256,0
3,6,1,0,0
3,6,2,0,0
3,7,0,1787,0
3,7,1,0,0
3,7,2,0,0
3,8,0,2158,0
3,8,1,0,0
3,8,2,0,0
3,9,0,2763,0
3,9,1,0,0
3,9,2,0,0
3,10,0,3341,1
3,10,1,0,0
3,10,2,0,0
3,11,0,3951,1
3,11,1,0,0
3,11,2,0,0
3,12,0,7240,2
3,12,1,628,5
3,12,2,502,0
3,13,0,0,6852
3,13,1,877,1037
3,13,2,0,40
3,14,0,0,7177
3,14,1,816,489
3,14,2,0,102
3,15,0,0,6982
3,15,1,805,533
3,15,2,0,89
3,16,0,0,6402
3,16,1,792,543
3,16,2,0,110
3,17,0,0,6297
3,17,1,824,609
3,17,2,0,92
3,18,0,0,5877
3,18,1,7,1208
3,18,2,0,78
3,19,0,0,5337
3,19,1,13,1351
3,19,2,0,51
3,20,0,0,8293
3,20,1,38,1424
3,20,2,0,39
3,21,0,0,1808
3,21,1,0,3966
3,21,2,0,53
4,4,0,391,0
4,4,1,0,0
4,4,2,0,0
4,5,0,806,0
4,5,1,0,0
4,5,2,0,0
4,6,0,1248,0
4,6,1,0,0
4,6,2,0,0
4,7,0,1726,0
